ANSI,State,County,sqmiles,y1997,y2002,y2007
a08041,COLORADO,EL PASO,2126.45625,77808,109220,88668
a08039,COLORADO,ELBERT,1850.782813,182110,216294,224007
a08043,COLORADO,FREMONT,1532.923438,20601,32571,25569
a08045,COLORADO,GARFIELD,2947.05625,59979,76277,50435
a08047,COLORADO,GILPIN,149.871875,0,270,307
a08049,COLORADO,GRAND,1846.242188,36687,49667,38831
a08051,COLORADO,GUNNISON,3238.690625,37881,58608,33829
a08053,COLORADO,HINSDALE,1117.707813,2305,4197,787
a08055,COLORADO,HUERFANO,1590.848438,25508,60191,35769
a08057,COLORADO,JACKSON,1613.207813,85397,107946,80270
a08059,COLORADO,JEFFERSON,764.228125,14735,18527,15217
a08061,COLORADO,KIOWA,1767.742188,551502,498188,616758
a08063,COLORADO,KIT CARSON,2160.821875,870106,849670,885783
a08067,COLORADO,LA PLATA,1691.946875,89901,111609,76772
a08065,COLORADO,LAKE,376.9,0,3936,6116
a08069,COLORADO,LARIMER,2595.995313,126752,139895,119984
a08071,COLORADO,LAS ANIMAS,4772.610938,72303,202528,109509
a08073,COLORADO,LINCOLN,2577.728125,0,488304,575968
a08075,COLORADO,LOGAN,1838.596875,526113,570050,603016
a08077,COLORADO,MESA,3327.742188,90154,119920,131178
a08079,COLORADO,MINERAL,875.71875,189,322,1756
a08081,COLORADO,MOFFAT,4742.254688,107865,161643,135148
a08083,COLORADO,MONTEZUMA,2030.996875,101087,118944,103916
a08085,COLORADO,MONTROSE,2240.639063,86812,106613,93262
a08087,COLORADO,MORGAN,1280.45,348357,384284,322969
a08089,COLORADO,OTERO,1261.946875,62713,95429,92911
a08091,COLORADO,OURAY,540.4703125,14527,15342,10152
a08093,COLORADO,PARK,2193.989063,23956,45649,55900
a08095,COLORADO,PHILLIPS,687.93125,408196,387974,355613
a08097,COLORADO,PITKIN,970.440625,9655,4913,4785
a08099,COLORADO,PROWERS,1638.3875,446798,533069,552476
a08101,COLORADO,PUEBLO,2386.139063,82738,117556,73537
a08103,COLORADO,RIO BLANCO,3220.975,54736,73167,55197
a08105,COLORADO,RIO GRANDE,911.6140625,132329,110868,114370
a08107,COLORADO,ROUTT,2361.689063,100374,136211,129874
a08109,COLORADO,SAGUACHE,3168.425,137403,173446,118229
a08111,COLORADO,SAN JUAN,387.54375,0,0,0
a08113,COLORADO,SAN MIGUEL,1286.501563,24910,21708,17807
a08115,COLORADO,SEDGWICK,548.0453125,218573,184784,196399
a08117,COLORADO,SUMMIT,608.14375,7206,5509,7119
a08119,COLORADO,TELLER,557.0546875,4713,11166,8846
a08121,COLORADO,WASHINGTON,2518.06875,899848,858199,854392
a08123,COLORADO,WELD,3987.448438,883623,878101,987892
a08125,COLORADO,YUMA,2364.4,642020,703827,697792
a08000,COLORADO,,104093.57,#N/A,#N/A,#N/A
a09001,CONNECTICUT,FAIRFIELD,625.89375,7676,5294,6646
a09003,CONNECTICUT,HARTFORD,735.45,36648,30748,29617
a09005,CONNECTICUT,LITCHFIELD,919.8984375,49557,41646,39172
a09007,CONNECTICUT,MIDDLESEX,369.2640625,10083,8518,7406
a09009,CONNECTICUT,NEW HAVEN,605.640625,14871,13870,13778
a09011,CONNECTICUT,NEW LONDON,665.9453125,32774,27474,25110
a09013,CONNECTICUT,TOLLAND,410.075,17795,17275,16817
a09015,CONNECTICUT,WINDHAM,512.709375,31182,25848,25140
a09015,CONNECTICUT,,5543.33,31182,25848,25140
a10001,DELAWARE,KENT,588.8171875,168563,159562,146536
a10003,DELAWARE,NEW CASTLE,425.5875,66840,59946,51913
a10005,DELAWARE,SUSSEX,937.4328125,256086,237693,234324
a10000,DELAWARE,,2489.27,#N/A,#N/A,#N/A
a12001,FLORIDA,ALACHUA,875.05,73157,80269,65636
a12003,FLORIDA,BAKER,585.3578125,5082,3668,4695
a12005,FLORIDA,BAY,758.3625,3088,2976,2729
a12007,FLORIDA,BRADFORD,293.446875,10586,18097,8537
a12009,FLORIDA,BREVARD,1018.048438,27370,23106,22115
a12011,FLORIDA,BROWARD,1205.357813,6742,6984,4853
a12013,FLORIDA,CALHOUN,567.359375,27229,24142,16553
a12015,FLORIDA,CHARLOTTE,680.290625,44920,41928,28721
a12017,FLORIDA,CITRUS,583.7703125,19899,12331,9684
a12019,FLORIDA,CLAY,601.13125,7783,8199,5706
a12021,FLORIDA,COLLIER,2042.979688,69291,91398,69862
a12023,FLORIDA,COLUMBIA,796.5078125,45350,26712,30037
a12027,FLORIDA,DE SOTO,637.1171875,126003,115356,91316
a12029,FLORIDA,DIXIE,704.015625,6589,8488,7647
a12031,FLORIDA,DUVAL,762.21875,9809,10666,5680
a12033,FLORIDA,ESCAMBIA,656.403125,35466,39246,52296
a12035,FLORIDA,FLAGLER,485.0515625,12270,8355,8682
a12037,FLORIDA,FRANKLIN,544.340625,0,0,0
a12039,FLORIDA,GADSDEN,515.9046875,24180,15253,15152
a12041,FLORIDA,GILCHRIST,348.8828125,42823,26686,32846
a12043,FLORIDA,GLADES,774.115625,40444,73043,50803
a12045,FLORIDA,GULF,553.328125,874,1027,1269
a12047,FLORIDA,HAMILTON,514.871875,23819,17443,20047
a12049,FLORIDA,HARDEE,637.246875,104732,115676,66298
a12051,FLORIDA,HENDRY,1152.315625,204400,296006,262419
a12053,FLORIDA,HERNANDO,472.5046875,20004,24260,16486
a12055,FLORIDA,HIGHLANDS,1016.540625,119393,168996,120464
a12057,FLORIDA,HILLSBOROUGH,1019.4625,107544,126158,86367
a12059,FLORIDA,HOLMES,478.453125,39830,36695,45991
a12061,FLORIDA,INDIAN RIVER,503.228125,86787,102916,81264
a12063,FLORIDA,JACKSON,914.8,128709,114428,144046
a12065,FLORIDA,JEFFERSON,597.70625,33236,29884,33951
a12067,FLORIDA,LAFAYETTE,542.8359375,22090,17114,17299
a12069,FLORIDA,LAKE,938.3046875,80620,73958,34681
a12071,FLORIDA,LEE,784.603125,35312,36422,21960
a12073,FLORIDA,LEON,666.8796875,16489,11425,12992
a12075,FLORIDA,LEVY,1118.33125,65543,69859,73176
a12077,FLORIDA,LIBERTY,835.834375,1183,1232,661
a12079,FLORIDA,MADISON,691.7625,53899,42483,40327
a12081,FLORIDA,MANATEE,743.1,103063,117173,77299
a12083,FLORIDA,MARION,1580.196875,99935,86712,59934
a12085,FLORIDA,MARTIN,543.2015625,74722,97840,51933
a12086,FLORIDA,MIAMI-DADE,1893.3375,68442,66564,53816
a12087,FLORIDA,MONROE,996.88125,0,29,156
a12089,FLORIDA,NASSAU,651.4640625,6522,5181,4249
a12091,FLORIDA,OKALOOSA,930.234375,20851,19684,24335
a12093,FLORIDA,OKEECHOBEE,768.89375,68664,115292,40902
a12095,FLORIDA,ORANGE,906.7640625,44086,25489,20737
a12097,FLORIDA,OSCEOLA,1321.964063,50642,76148,44457
a12099,FLORIDA,PALM BEACH,1972.079688,529888,480973,450665
a12101,FLORIDA,PASCO,745.178125,57681,52943,37757
a12103,FLORIDA,PINELLAS,273.8234375,979,0,0
a12105,FLORIDA,POLK,1797.810938,186698,189970,136281
a12107,FLORIDA,PUTNAM,721.86875,17670,16743,12016
a12113,FLORIDA,SANTA ROSA,1010.8,54702,51976,33335
a12115,FLORIDA,SARASOTA,555.834375,18271,33362,8664
a12117,FLORIDA,SEMINOLE,307.9328125,7252,3763,4461
a12109,FLORIDA,ST. JOHNS,600.6265625,24739,24960,19550
a12111,FLORIDA,ST. LUCIE,572.4609375,137250,118847,62637
a12119,FLORIDA,SUMTER,545.590625,53943,44950,29398
a12121,FLORIDA,SUWANNEE,687.640625,84804,68545,68157
a12123,FLORIDA,TAYLOR,1041.7875,6174,3052,1849
a12125,FLORIDA,UNION,243.140625,14903,18791,7239
a12127,FLORIDA,VOLUSIA,1100.7875,29893,18906,18328
a12129,FLORIDA,WAKULLA,606.6734375,3400,3055,2014
a12131,FLORIDA,WALTON,1037.604688,35716,32143,46685
a12133,FLORIDA,WASHINGTON,582.3296875,25383,18404,22743
a12133,FLORIDA,,65754.59,25383,18404,22743
a13001,GEORGIA,APPLING,507.0578125,64502,62386,61642
a13003,GEORGIA,ATKINSON,339.3859375,31021,25753,28398
a13005,GEORGIA,BACON,253.5765625,24830,28779,29928
a13007,GEORGIA,BAKER,341.6796875,63488,53606,51582
a13009,GEORGIA,BALDWIN,259.703125,11382,9637,8714
a13011,GEORGIA,BANKS,232.1046875,22257,20364,11885
a13013,GEORGIA,BARROW,160.15625,21762,14494,9978
a13015,GEORGIA,BARTOW,459.4109375,36738,34398,24521
a13017,GEORGIA,BEN HILL,250.1171875,34843,31219,36580
a13019,GEORGIA,BERRIEN,451.909375,69480,58313,59878
a13021,GEORGIA,BIBB,249.23125,10097,9193,5149
a13023,GEORGIA,BLECKLEY,215.8546875,46186,30384,57014
a13025,GEORGIA,BRANTLEY,442.44375,11359,10233,10816
a13027,GEORGIA,BROOKS,493.04375,102643,90075,91775
a13029,GEORGIA,BRYAN,435.8953125,7707,5801,6481
a13031,GEORGIA,BULLOCH,672.8109375,136563,113855,118760
a13033,GEORGIA,BURKE,826.9609375,123287,104645,111059
a13035,GEORGIA,BUTTS,184.628125,11244,9240,6444
a13037,GEORGIA,CALHOUN,280.7,64441,64645,67031
a13039,GEORGIA,CAMDEN,613.1546875,1428,963,3335
a13043,GEORGIA,CANDLER,243.034375,35262,26213,36838
a13045,GEORGIA,CARROLL,498.971875,41629,34782,25501
a13047,GEORGIA,CATOOSA,162.0109375,14739,12919,8183
a13049,GEORGIA,CHARLTON,773.615625,4720,3889,3205
a13051,GEORGIA,CHATHAM,424.4,1988,1579,1164
a13053,GEORGIA,CHATTAHOOCHEE,248.7328125,933,319,434
a13055,GEORGIA,CHATTOOGA,313.3125,24742,20335,16069
