ANSI,State,County,sqmiles,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
a02180,ALASKA,Nome Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02185,ALASKA,North Slope Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02188,ALASKA,Northwest Arctic Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02195,ALASKA,Petersburg Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02198,ALASKA,Prince of Wales-Hyder Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02220,ALASKA,Sitka City and Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02230,ALASKA,Skagway Municipality,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02240,ALASKA,Southeast Fairbanks Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02261,ALASKA,Valdez-Cordova Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02270,ALASKA,Wade Hampton Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02275,ALASKA,Wrangell City and Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02282,ALASKA,Yakutat City and Borough,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a02290,ALASKA,Yukon-Koyukuk Census Area,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04001,ARIZONA,APACHE,11197.43906,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04003,ARIZONA,COCHISE,6165.910938,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04005,ARIZONA,COCONINO,18618.74531,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04007,ARIZONA,GILA,4757.989063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04009,ARIZONA,GRAHAM,4622.545313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04011,ARIZONA,GREENLEE,1843.103125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04012,ARIZONA,LAPAZ,4499.564063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04013,ARIZONA,MARICOPA,9200.34375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04015,ARIZONA,MOHAVE,13305.4625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04017,ARIZONA,NAVAJO,9950.370313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04019,ARIZONA,PIMA,9186.314063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04021,ARIZONA,PINAL,5366.296875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04023,ARIZONA,SANTA CRUZ,1236.9125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04025,ARIZONA,YAVAPAI,8123.371875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04027,ARIZONA,YUMA,5513.901563,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a04000,ARIZONA,,113998.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05001,ARKANSAS,ARKANSAS,988.4484375,0,0,0,0,230000,180000,194000,173100
a05003,ARKANSAS,ASHLEY,923.015625,0,0,0,0,73000,44000,50000,40100
a05005,ARKANSAS,BAXTER,557.109375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05007,ARKANSAS,BENTON,847.303125,0,0,0,0,1400,2000,0,0
a05009,ARKANSAS,BOONE,590.2296875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05011,ARKANSAS,BRADLEY,650.634375,0,0,0,0,2200,0,0,0
a05013,ARKANSAS,CALHOUN,628.275,0,0,0,0,1700,0,0,0
a05015,ARKANSAS,CARROLL,630.146875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05017,ARKANSAS,CHICOT,644.290625,0,0,0,0,205000,110000,134000,127100
a05019,ARKANSAS,CLARK,865.4734375,0,0,0,0,32500,15000,0,0
a05021,ARKANSAS,CLAY,639.259375,0,0,0,0,125000,102000,136000,103500
a05023,ARKANSAS,CLEBURNE,553.0515625,0,0,0,0,2600,500,0,0
a05025,ARKANSAS,CLEVELAND,597.7453125,0,0,0,0,1100,0,0,0
a05027,ARKANSAS,COLUMBIA,773.2640625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05029,ARKANSAS,CONWAY,552.253125,0,0,0,0,31000,23000,22000,18400
a05031,ARKANSAS,CRAIGHEAD,707.19375,0,0,0,0,160000,115000,90000,105500
a05033,ARKANSAS,CRAWFORD,594.4765625,0,0,0,0,24000,19500,14000,12900
a05035,ARKANSAS,CRITTENDEN,609.809375,0,0,0,0,305000,201000,210000,211500
a05037,ARKANSAS,CROSS,615.8375,0,0,0,0,195000,165000,177000,148800
a05039,ARKANSAS,DALLAS,667.4203125,0,0,0,0,1800,0,0,0
a05041,ARKANSAS,DESHA,764.9796875,0,0,0,0,175000,103000,106000,140000
a05043,ARKANSAS,DREW,828.178125,0,0,0,0,49000,26000,28000,32200
a05045,ARKANSAS,FAULKNER,647.4578125,0,0,0,0,32000,11000,0,0
a05047,ARKANSAS,FRANKLIN,609.584375,0,0,0,0,3600,2300,0,0
a05049,ARKANSAS,FULTON,618.1734375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05051,ARKANSAS,GARLAND,677.24375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05053,ARKANSAS,GRANT,631.809375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05055,ARKANSAS,GREENE,577.5625,0,0,0,0,90000,69000,91000,76400
a05057,ARKANSAS,HEMPSTEAD,727.5125,0,0,0,0,31500,6800,0,0
a05059,ARKANSAS,HOT SPRING,614.925,0,0,0,0,5800,1800,0,0
a05061,ARKANSAS,HOWARD,587.5140625,0,0,0,0,1300,0,0,0
a05063,ARKANSAS,INDEPENDENCE,763.78125,0,0,0,0,66000,41000,39000,32000
a05065,ARKANSAS,IZARD,580.2328125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05067,ARKANSAS,JACKSON,633.5234375,0,0,0,0,205000,177000,161000,129000
a05069,ARKANSAS,JEFFERSON,870.7609375,0,0,0,0,130000,97000,125000,115800
a05071,ARKANSAS,JOHNSON,659.7609375,0,0,0,0,6300,5200,0,0
a05073,ARKANSAS,LAFAYETTE,528.271875,0,0,0,0,26500,11500,0,0
a05075,ARKANSAS,LAWRENCE,586.6078125,0,0,0,0,105000,77000,99000,65100
a05077,ARKANSAS,LEE,601.728125,0,0,0,0,190000,182000,173000,130000
a05079,ARKANSAS,LINCOLN,560.971875,0,0,0,0,78000,65000,63000,77400
a05081,ARKANSAS,LITTLE RIVER,531.1890625,0,0,0,0,35000,21000,0,14500
a05083,ARKANSAS,LOGAN,708.1421875,0,0,0,0,8800,6000,0,5300
a05085,ARKANSAS,LONOKE,766.0796875,0,0,0,0,180000,131000,132000,115500
a05087,ARKANSAS,MADISON,834.2453125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05089,ARKANSAS,MARION,597.0046875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05091,ARKANSAS,MILLER,624.265625,0,0,0,0,51500,25000,0,19000
a05093,ARKANSAS,MISSISSIPPI,898.628125,0,0,0,0,385000,264000,194000,255500
a05095,ARKANSAS,MONROE,606.559375,0,0,0,0,115000,111000,100000,99800
a05097,ARKANSAS,MONTGOMERY,779.8546875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05099,ARKANSAS,NEVADA,617.846875,0,0,0,0,7500,1800,0,0
a05101,ARKANSAS,NEWTON,820.8890625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05103,ARKANSAS,OUACHITA,732.4421875,0,0,0,0,2800,0,0,0
a05105,ARKANSAS,PERRY,550.9890625,0,0,0,0,12000,4000,0,3800
a05107,ARKANSAS,PHILLIPS,692.6859375,0,0,0,0,285000,196000,179000,211500
a05109,ARKANSAS,PIKE,600.6109375,0,0,0,0,6200,2000,0,0
a05111,ARKANSAS,POINSETT,757.809375,0,0,0,0,215000,155000,153000,170800
a05113,ARKANSAS,POLK,857.696875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05115,ARKANSAS,POPE,811.8625,0,0,0,0,14500,10000,0,9400
a05117,ARKANSAS,PRAIRIE,645.8921875,0,0,0,0,170000,140000,133000,112100
a05119,ARKANSAS,PULASKI,759.7609375,0,0,0,0,65000,50000,33000,24300
a05121,ARKANSAS,RANDOLPH,651.85,0,0,0,0,54000,40000,43000,31600
a05123,ARKANSAS,SAINT FRANCIS,633.659375,0,0,0,0,205000,159000,162000,143100
a05125,ARKANSAS,SALINE,723.528125,0,0,0,0,1500,800,0,0
a05127,ARKANSAS,SCOTT,892.2734375,0,0,0,0,1000,0,0,0
a05129,ARKANSAS,SEARCY,666.140625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05131,ARKANSAS,SEBASTIAN,531.8984375,0,0,0,0,4800,4800,0,3500
a05133,ARKANSAS,SEVIER,565.1140625,0,0,0,0,3000,1800,0,0
a05135,ARKANSAS,SHARP,604.3359375,0,0,0,0,1700,0,0,0
a05137,ARKANSAS,STONE,606.5921875,0,0,0,0,900,500,0,0
a05139,ARKANSAS,UNION,1038.903125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05141,ARKANSAS,VAN BUREN,708.0765625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a05143,ARKANSAS,WASHINGTON,941.9609375,0,0,0,0,500,0,0,0
a05145,ARKANSAS,WHITE,1033.41875,0,0,0,0,155000,54000,51000,40100
a05147,ARKANSAS,WOODRUFF,586.3140625,0,0,0,0,210000,153000,146000,143600
a05149,ARKANSAS,YELL,927.865625,0,0,0,0,21000,15000,0,0
a05000,ARKANSAS,,53178.62,0,0,0,0,2000,1700,97000,47800
a06001,CALIFORNIA,ALAMEDA,737.59375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06003,CALIFORNIA,ALPINE,738.5375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06005,CALIFORNIA,AMADOR,594.215625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06007,CALIFORNIA,BUTTE,1636.578125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06009,CALIFORNIA,CALAVERAS,1020.048438,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06011,CALIFORNIA,COLUSA,1150.864063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06013,CALIFORNIA,CONTRA COSTA,719.8390625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06015,CALIFORNIA,DEL NORTE,1006.371875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06017,CALIFORNIA,EL DORADO,1709.520313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06019,CALIFORNIA,FRESNO,5962.898438,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06021,CALIFORNIA,GLENN,1313.864063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06023,CALIFORNIA,HUMBOLDT,3567.996875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06025,CALIFORNIA,IMPERIAL,4174.629688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06027,CALIFORNIA,INYO,10179.90469,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06029,CALIFORNIA,KERN,8132.845313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06031,CALIFORNIA,KINGS,1389.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06033,CALIFORNIA,LAKE,1256.467188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06035,CALIFORNIA,LASSEN,4541.165625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06037,CALIFORNIA,LOS ANGELES,4057.454688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06039,CALIFORNIA,MADERA,2135.748438,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06041,CALIFORNIA,MARIN,519.809375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06043,CALIFORNIA,MARIPOSA,1448.795313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06045,CALIFORNIA,MENDOCINO,3506.365625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06047,CALIFORNIA,MERCED,1928.426563,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06049,CALIFORNIA,MODOC,3917.804688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06051,CALIFORNIA,MONO,3048.9125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06053,CALIFORNIA,MONTEREY,3280.603125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06055,CALIFORNIA,NAPA,748.4203125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06057,CALIFORNIA,NEVADA,956.93125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06059,CALIFORNIA,ORANGE,789.403125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06061,CALIFORNIA,PLACER,1404.042188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06063,CALIFORNIA,PLUMAS,2553.729688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06065,CALIFORNIA,RIVERSIDE,7207.415625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06067,CALIFORNIA,SACRAMENTO,964.384375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06069,CALIFORNIA,SAN BENITO,1388.785938,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06071,CALIFORNIA,SAN BERNARDINO,20052.30625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06073,CALIFORNIA,SAN DIEGO,4201.075,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06075,CALIFORNIA,SAN FRANCISCO,46.8953125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06077,CALIFORNIA,SAN JOAQUIN,1391.101563,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06079,CALIFORNIA,SAN LUIS OBISPO,3301.607813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06081,CALIFORNIA,SAN MATEO,449.075,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06083,CALIFORNIA,SANTA BARBARA,2735.14375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06085,CALIFORNIA,SANTA CLARA,1290.689063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06087,CALIFORNIA,SANTA CRUZ,445.2390625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06089,CALIFORNIA,SHASTA,3775.434375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06091,CALIFORNIA,SIERRA,953.103125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06093,CALIFORNIA,SISKIYOU,6278.917188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06095,CALIFORNIA,SOLANO,821.653125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06097,CALIFORNIA,SONOMA,1575.707813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06099,CALIFORNIA,STANISLAUS,1494.660938,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06101,CALIFORNIA,SUTTER,602.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06103,CALIFORNIA,TEHAMA,2949.734375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06105,CALIFORNIA,TRINITY,3178.564063,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06107,CALIFORNIA,TULARE,4823.667188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06109,CALIFORNIA,TUOLUMNE,2220.853125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06111,CALIFORNIA,VENTURA,1842.732813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06113,CALIFORNIA,YOLO,1013.595313,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06115,CALIFORNIA,YUBA,630.7359375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a06000,CALIFORNIA,,163695.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08001,COLORADO,ADAMS,1167.340625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08003,COLORADO,ALAMOSA,722.7453125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08005,COLORADO,ARAPAHOE,798.0921875,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08007,COLORADO,ARCHULETA,1350.282813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08009,COLORADO,BACA,2554.954688,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08011,COLORADO,BENT,1512.840625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08013,COLORADO,BOULDER,726.2890625,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08014,COLORADO,BROOMFIELD,33.028125,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08015,COLORADO,CHAFFEE,1013.3375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08017,COLORADO,CHEYENNE,1778.242188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08019,COLORADO,CLEAR CREEK,395.1859375,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a08021,COLORADO,CONEJOS,1287.223438,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
