ANSI,State,County,sqmiles,y1930,y1940,y1950,y1960,y1970,y1980,y1990,y2000,y2010
a05033,ARKANSAS,CRAWFORD,594.4765625,0,0,0,0,0,700,0,3500,1800
a05035,ARKANSAS,CRITTENDEN,609.809375,0,0,0,0,0,1100,2000,5500,4000
a05037,ARKANSAS,CROSS,615.8375,0,0,0,0,0,1200,500,0,5000
a05039,ARKANSAS,DALLAS,667.4203125,,,,,,,,,
a05041,ARKANSAS,DESHA,764.9796875,0,0,0,0,0,1100,2500,0,11000
a05043,ARKANSAS,DREW,828.178125,0,0,0,0,0,700,800,0,3800
a05045,ARKANSAS,FAULKNER,647.4578125,0,0,0,0,0,0,500,1000,0
a05047,ARKANSAS,FRANKLIN,609.584375,,,,,,,,,
a05049,ARKANSAS,FULTON,618.1734375,,,,,,,,,
a05051,ARKANSAS,GARLAND,677.24375,,,,,,,,,
a05053,ARKANSAS,GRANT,631.809375,,,,,,,,,
a05055,ARKANSAS,GREENE,577.5625,0,0,0,0,0,2000,3500,8000,11100
a05057,ARKANSAS,HEMPSTEAD,727.5125,0,0,0,0,0,500,0,0,0
a05059,ARKANSAS,HOT SPRING,614.925,0,0,0,0,0,800,0,0,0
a05061,ARKANSAS,HOWARD,587.5140625,0,0,0,0,0,1200,0,0,0
a05063,ARKANSAS,INDEPENDENCE,763.78125,0,0,0,0,0,600,0,6000,6500
a05065,ARKANSAS,IZARD,580.2328125,,,,,,,,,
a05067,ARKANSAS,JACKSON,633.5234375,0,0,0,0,0,1700,2000,8500,7900
a05069,ARKANSAS,JEFFERSON,870.7609375,0,0,0,0,0,1200,3700,0,26100
a05071,ARKANSAS,JOHNSON,659.7609375,0,0,0,0,0,0,0,1000,1600
a05073,ARKANSAS,LAFAYETTE,528.271875,0,0,0,0,0,0,1500,7000,11600
a05075,ARKANSAS,LAWRENCE,586.6078125,0,0,0,0,0,1400,0,0,1800
a05077,ARKANSAS,LEE,601.728125,0,0,0,0,0,700,0,8000,21400
a05079,ARKANSAS,LINCOLN,560.971875,0,0,0,0,0,1100,900,0,8100
a05081,ARKANSAS,LITTLE RIVER,531.1890625,0,0,0,0,0,0,800,0,0
a05083,ARKANSAS,LOGAN,708.1421875,0,0,0,0,0,0,500,2500,3200
a05085,ARKANSAS,LONOKE,766.0796875,0,0,0,0,0,500,2500,0,20600
a05087,ARKANSAS,MADISON,834.2453125,0,0,0,0,0,500,0,0,0
a05089,ARKANSAS,MARION,597.0046875,0,0,0,0,0,700,0,0,0
a05091,ARKANSAS,MILLER,624.265625,0,0,0,0,0,500,3000,8500,27600
a05093,ARKANSAS,MISSISSIPPI,898.628125,0,0,0,0,0,2200,2400,7000,19300
a05095,ARKANSAS,MONROE,606.559375,0,0,0,0,0,0,2000,14000,14200
a05097,ARKANSAS,MONTGOMERY,779.8546875,0,0,0,0,0,500,0,0,0
a05099,ARKANSAS,NEVADA,617.846875,0,0,0,0,0,500,800,0,0
a05101,ARKANSAS,NEWTON,820.8890625,,,,,,,,,
a05103,ARKANSAS,OUACHITA,732.4421875,0,0,0,0,0,700,0,0,0
a05105,ARKANSAS,PERRY,550.9890625,0,0,0,0,0,500,0,0,0
a05107,ARKANSAS,PHILLIPS,692.6859375,0,0,0,0,0,800,1500,3500,22500
a05109,ARKANSAS,PIKE,600.6109375,,,,,,,,,
a05111,ARKANSAS,POINSETT,757.809375,0,0,0,0,0,900,1000,2000,10100
a05113,ARKANSAS,POLK,857.696875,,,,,,,,,
a05115,ARKANSAS,POPE,811.8625,0,0,0,0,0,500,0,0,1300
a05117,ARKANSAS,PRAIRIE,645.8921875,0,0,0,0,0,700,5500,2500,6400
a05119,ARKANSAS,PULASKI,759.7609375,0,0,0,0,0,0,0,0,5500
a05121,ARKANSAS,RANDOLPH,651.85,0,0,0,0,0,500,1900,8500,4900
a05123,ARKANSAS,SAINT FRANCIS,633.659375,0,0,0,0,0,600,0,0,4500
a05125,ARKANSAS,SALINE,723.528125,,,,,,,,,
a05127,ARKANSAS,SCOTT,892.2734375,0,0,0,0,0,600,0,0,0
a05129,ARKANSAS,SEARCY,666.140625,0,0,0,0,0,500,0,0,0
a05131,ARKANSAS,SEBASTIAN,531.8984375,0,0,0,0,0,0,0,0,900
a05133,ARKANSAS,SEVIER,565.1140625,,,,,,,,,
a05135,ARKANSAS,SHARP,604.3359375,,,,,,,,,
a05137,ARKANSAS,STONE,606.5921875,,,,,,,,,
a05139,ARKANSAS,UNION,1038.903125,,,,,,,,,
a05141,ARKANSAS,VAN BUREN,708.0765625,,,,,,,,,
a05143,ARKANSAS,WASHINGTON,941.9609375,0,0,0,0,0,800,0,0,0
a05145,ARKANSAS,WHITE,1033.41875,0,0,0,0,0,3200,1200,0,2100
a05147,ARKANSAS,WOODRUFF,586.3140625,0,0,0,0,0,3800,6500,13000,11900
a05149,ARKANSAS,YELL,927.865625,0,0,0,0,0,800,0,3000,0
a05000,ARKANSAS,,53178.62,2030000,2174000,1422000,326000,57000,60000,80000,180000,390000
a06001,CALIFORNIA,ALAMEDA,737.59375,0,0,0,950,300,500,0,600,0
a06003,CALIFORNIA,ALPINE,738.5375,,,,,,,,,
a06005,CALIFORNIA,AMADOR,594.215625,0,0,0,250,150,0,500,300,0
a06007,CALIFORNIA,BUTTE,1636.578125,0,0,0,7000,3300,4300,1500,900,0
a06009,CALIFORNIA,CALAVERAS,1020.048438,,,,,,,,,
a06011,CALIFORNIA,COLUSA,1150.864063,0,0,0,1200,1400,7700,4000,4500,7000
a06013,CALIFORNIA,CONTRA COSTA,719.8390625,0,0,0,3600,8300,3200,4800,5800,0
a06015,CALIFORNIA,DEL NORTE,1006.371875,,,,,,,,,
a06017,CALIFORNIA,EL DORADO,1709.520313,,,,,,,,,
a06019,CALIFORNIA,FRESNO,5962.898438,0,0,0,9500,31500,16200,17000,18000,0
a06021,CALIFORNIA,GLENN,1313.864063,0,0,0,4000,7000,9600,8000,16000,15000
a06023,CALIFORNIA,HUMBOLDT,3567.996875,0,0,0,600,300,2500,0,0,0
a06025,CALIFORNIA,IMPERIAL,4174.629688,0,0,0,2600,150,0,600,2000,0
a06027,CALIFORNIA,INYO,10179.90469,0,0,0,100,0,0,0,0,0
a06029,CALIFORNIA,KERN,8132.845313,0,0,0,9000,16000,13400,6000,16000,0
a06031,CALIFORNIA,KINGS,1389.45,0,0,0,6000,25000,19500,17000,37000,0
a06033,CALIFORNIA,LAKE,1256.467188,0,0,0,400,200,100,0,0,0
a06035,CALIFORNIA,LASSEN,4541.165625,0,0,0,250,300,400,0,0,0
a06037,CALIFORNIA,LOS ANGELES,4057.454688,0,0,0,750,400,0,0,0,0
a06039,CALIFORNIA,MADERA,2135.748438,0,0,0,15000,15000,13200,16000,18000,0
a06041,CALIFORNIA,MARIN,519.809375,,,,,,,,,
a06043,CALIFORNIA,MARIPOSA,1448.795313,0,0,0,100,50,0,0,0,0
a06045,CALIFORNIA,MENDOCINO,3506.365625,0,0,0,400,900,0,0,0,0
a06047,CALIFORNIA,MERCED,1928.426563,0,0,0,18000,24800,35300,43000,63000,0
a06049,CALIFORNIA,MODOC,3917.804688,0,0,0,0,0,200,0,0,0
a06051,CALIFORNIA,MONO,3048.9125,0,0,0,200,0,0,0,0,0
a06053,CALIFORNIA,MONTEREY,3280.603125,0,0,0,3300,3900,2600,400,0,0
a06055,CALIFORNIA,NAPA,748.4203125,0,0,0,500,50,0,0,0,0
a06057,CALIFORNIA,NEVADA,956.93125,,,,,,,,,
a06059,CALIFORNIA,ORANGE,789.403125,0,0,0,250,250,0,0,0,0
a06061,CALIFORNIA,PLACER,1404.042188,0,0,0,0,0,100,500,200,0
a06063,CALIFORNIA,PLUMAS,2553.729688,,,,,,,,,
a06065,CALIFORNIA,RIVERSIDE,7207.415625,0,0,0,2700,5000,1200,300,4500,0
a06067,CALIFORNIA,SACRAMENTO,964.384375,0,0,0,26000,41500,55300,29600,37000,32400
a06069,CALIFORNIA,SAN BENITO,1388.785938,0,0,0,250,500,1100,400,0,0
a06071,CALIFORNIA,SAN BERNARDINO,20052.30625,0,0,0,2000,3100,700,1300,500,0
a06073,CALIFORNIA,SAN DIEGO,4201.075,0,0,0,1100,300,700,0,0,0
a06075,CALIFORNIA,SAN FRANCISCO,46.8953125,,,,,,,,,
a06077,CALIFORNIA,SAN JOAQUIN,1391.101563,0,0,0,35000,38500,88000,73000,85000,88500
a06079,CALIFORNIA,SAN LUIS OBISPO,3301.607813,0,0,0,1800,1200,0,0,200,0
a06081,CALIFORNIA,SAN MATEO,449.075,0,0,0,0,50,0,0,0,0
a06083,CALIFORNIA,SANTA BARBARA,2735.14375,0,0,0,2300,2700,800,1400,500,0
a06085,CALIFORNIA,SANTA CLARA,1290.689063,0,0,0,350,500,0,0,0,0
a06087,CALIFORNIA,SANTA CRUZ,445.2390625,0,0,0,400,100,0,0,0,0
a06089,CALIFORNIA,SHASTA,3775.434375,0,0,0,600,200,0,200,200,0
a06091,CALIFORNIA,SIERRA,953.103125,,,,,,,,,
a06093,CALIFORNIA,SISKIYOU,6278.917188,0,0,0,0,300,500,200,300,0
a06095,CALIFORNIA,SOLANO,821.653125,0,0,0,5000,6800,25700,30400,21000,15500
a06097,CALIFORNIA,SONOMA,1575.707813,0,0,0,1950,1200,800,300,400,0
a06099,CALIFORNIA,STANISLAUS,1494.660938,0,0,0,22000,26000,37100,32000,59000,0
a06101,CALIFORNIA,SUTTER,602.55,0,0,0,4000,5500,9300,5700,7500,8000
a06103,CALIFORNIA,TEHAMA,2949.734375,0,0,0,2400,500,1400,2000,1600,2000
a06105,CALIFORNIA,TRINITY,3178.564063,,,,,,,,,
a06107,CALIFORNIA,TULARE,4823.667188,0,0,0,10000,41000,58400,55000,109000,0
a06109,CALIFORNIA,TUOLUMNE,2220.853125,,,,,,,,,
a06111,CALIFORNIA,VENTURA,1842.732813,0,0,0,400,200,0,0,0,0
a06113,CALIFORNIA,YOLO,1013.595313,0,0,0,8000,17200,38700,20700,29000,17000
a06115,CALIFORNIA,YUBA,630.7359375,0,0,0,800,400,1500,2000,1500,0
a06000,CALIFORNIA,,163695.57,82000,75000,81000,211000,312000,450000,375000,540000,610000
a08001,COLORADO,ADAMS,1167.340625,0,0,0,0,14700,14700,9800,14400,15000
a08003,COLORADO,ALAMOSA,722.7453125,0,0,0,0,200,0,0,0,0
a08005,COLORADO,ARAPAHOE,798.0921875,0,0,0,0,950,1500,300,3000,0
a08007,COLORADO,ARCHULETA,1350.282813,0,0,0,0,60,200,0,0,0
a08009,COLORADO,BACA,2554.954688,0,0,0,0,30000,8700,11200,39700,88200
a08011,COLORADO,BENT,1512.840625,0,0,0,0,10800,7000,8500,16000,13700
a08013,COLORADO,BOULDER,726.2890625,0,0,0,0,8800,12000,11500,6600,3000
a08014,COLORADO,BROOMFIELD,33.028125,,,,,,,,,
a08015,COLORADO,CHAFFEE,1013.3375,0,0,0,0,300,0,0,0,0
a08017,COLORADO,CHEYENNE,1778.242188,0,0,0,0,7800,13200,8100,45400,54200
a08019,COLORADO,CLEAR CREEK,395.1859375,,,,,,,,,
a08021,COLORADO,CONEJOS,1287.223438,0,0,0,0,600,100,0,0,0
a08023,COLORADO,COSTILLA,1227.104688,0,0,0,0,100,0,0,0,0
a08025,COLORADO,CROWLEY,787.7390625,0,0,0,0,9100,11600,5800,2500,0
a08027,COLORADO,CUSTER,738.6265625,,,,,,,,,
a08029,COLORADO,DELTA,1142.057813,0,0,0,0,5700,9100,9500,7100,0
a08031,COLORADO,DENVER,153.353125,,,,,,,,,
a08033,COLORADO,DOLORES,1066.970313,0,0,0,0,120,200,0,300,0
a08035,COLORADO,DOUGLAS,840.178125,0,0,0,0,750,300,0,0,0
a08037,COLORADO,EAGLE,1684.298438,0,0,0,0,0,200,0,0,0
a08041,COLORADO,EL PASO,2126.45625,0,0,0,0,12500,3300,200,500,0
a08039,COLORADO,ELBERT,1850.782813,0,0,0,0,7100,1100,300,3100,9600
a08043,COLORADO,FREMONT,1532.923438,0,0,0,0,900,700,600,0,0
a08045,COLORADO,GARFIELD,2947.05625,0,0,0,0,1400,500,300,0,0
a08047,COLORADO,GILPIN,149.871875,,,,,,,,,
a08049,COLORADO,GRAND,1846.242188,,,,,,,,,
a08051,COLORADO,GUNNISON,3238.690625,0,0,0,0,50,300,0,0,0
a08053,COLORADO,HINSDALE,1117.707813,,,,,,,,,
a08055,COLORADO,HUERFANO,1590.848438,0,0,0,0,200,100,0,0,0
a08057,COLORADO,JACKSON,1613.207813,,,,,,,,,
a08059,COLORADO,JEFFERSON,764.228125,0,0,0,0,200,200,0,0,0
a08061,COLORADO,KIOWA,1767.742188,0,0,0,0,3100,900,300,17400,26300
a08063,COLORADO,KIT CARSON,2160.821875,0,0,0,0,49000,70700,74000,193900,202000
a08067,COLORADO,LA PLATA,1691.946875,0,0,0,0,2500,1800,200,0,0
a08065,COLORADO,LAKE,376.9,,,,,,,,,
a08069,COLORADO,LARIMER,2595.995313,0,0,0,0,29500,29500,32500,20500,14000
a08071,COLORADO,LAS ANIMAS,4772.610938,0,0,0,0,1000,500,1000,700,0
a08073,COLORADO,LINCOLN,2577.728125,0,0,0,0,3100,2300,500,28900,39000
a08075,COLORADO,LOGAN,1838.596875,0,0,0,0,42000,53600,51300,94500,80000
a08077,COLORADO,MESA,3327.742188,0,0,0,0,12700,19200,16100,8200,0
a08079,COLORADO,MINERAL,875.71875,,,,,,,,,
a08081,COLORADO,MOFFAT,4742.254688,0,0,0,0,100,0,0,0,0
a08083,COLORADO,MONTEZUMA,2030.996875,0,0,0,0,800,500,200,1700,0
a08085,COLORADO,MONTROSE,2240.639063,0,0,0,0,8300,16500,16500,16700,0
a08087,COLORADO,MORGAN,1280.45,0,0,0,0,62500,82000,84000,104600,0
a08089,COLORADO,OTERO,1261.946875,0,0,0,0,26400,27200,19500,21700,14300
a08091,COLORADO,OURAY,540.4703125,0,0,0,0,120,100,200,0,0
a08093,COLORADO,PARK,2193.989063,,,,,,,,,
a08095,COLORADO,PHILLIPS,687.93125,0,0,0,0,20500,75400,73000,122700,111100
a08097,COLORADO,PITKIN,970.440625,0,0,0,0,50,0,0,0,0
a08099,COLORADO,PROWERS,1638.3875,0,0,0,0,17200,14200,12500,30600,32600
a08101,COLORADO,PUEBLO,2386.139063,0,0,0,0,14400,14000,10900,9000,6500
a08103,COLORADO,RIO BLANCO,3220.975,0,0,0,0,200,0,0,0,0
a08105,COLORADO,RIO GRANDE,911.6140625,0,0,0,0,500,100,0,0,0
a08107,COLORADO,ROUTT,2361.689063,,,,,,,,,
a08109,COLORADO,SAGUACHE,3168.425,0,0,0,0,100,100,0,0,0
a08111,COLORADO,SAN JUAN,387.54375,,,,,,,,,
a08113,COLORADO,SAN MIGUEL,1286.501563,0,0,0,0,300,100,0,0,0
a08115,COLORADO,SEDGWICK,548.0453125,0,0,0,0,14000,38700,42200,62500,59000
a08117,COLORADO,SUMMIT,608.14375,,,,,,,,,
a08119,COLORADO,TELLER,557.0546875,0,0,0,0,800,0,0,0,0
a08121,COLORADO,WASHINGTON,2518.06875,0,0,0,0,16500,31600,21500,74900,85400
a08123,COLORADO,WELD,3987.448438,0,0,0,0,156000,198000,208500,175100,126900
a08125,COLORADO,YUMA,2364.4,0,0,0,0,67000,208000,219000,227800,245000
a08000,COLORADO,,104093.57,1501000,1018000,597000,470000,661000,970000,950000,1350000,1330000
a09001,CONNECTICUT,FAIRFIELD,625.89375,,,,,,,,,
a09003,CONNECTICUT,HARTFORD,735.45,,,,,,,,,
a09005,CONNECTICUT,LITCHFIELD,919.8984375,,,,,,,,,
a09007,CONNECTICUT,MIDDLESEX,369.2640625,,,,,,,,,
a09009,CONNECTICUT,NEW HAVEN,605.640625,,,,,,,,,
a09011,CONNECTICUT,NEW LONDON,665.9453125,,,,,,,,,
a09013,CONNECTICUT,TOLLAND,410.075,,,,,,,,,
a09015,CONNECTICUT,WINDHAM,512.709375,,,,,,,,,
a09015,CONNECTICUT,,5543.33,51000,47000,40000,34000,48000,61000,45000,36000,26000
a10001,DELAWARE,KENT,588.8171875,42600,43800,41900,45000,52000,57300,51000,41800,56000
a10003,DELAWARE,NEW CASTLE,425.5875,24400,22800,24800,25000,27000,49400,47000,20100,23000
a10005,DELAWARE,SUSSEX,937.4328125,74000,76400,72300,89000,116000,83300,82000,103100,101000
a10000,DELAWARE,,2489.27,141000,143000,139000,159000,195000,190000,180000,165000,180000
a12001,FLORIDA,ALACHUA,875.05,0,0,0,0,22000,29000,5000,4800,0
a12003,FLORIDA,BAKER,585.3578125,0,0,0,0,2300,3000,0,0,0
a12005,FLORIDA,BAY,758.3625,0,0,0,0,700,500,0,0,0
a12007,FLORIDA,BRADFORD,293.446875,0,0,0,0,1500,3000,0,0,0
a12009,FLORIDA,BREVARD,1018.048438,,,,,,,,,
